id,name
4,Armored Guard
5,ATM Calls
6,Bailiff
7,Cleaner Escort
8,Construction
9,Contractor Watch Security
13,Employee Spot Checks
16,Fire Watch
18,Mobile Patrol Supervisor
19,Legal Express
20,Loss Prevention Officer
21,Loss Prevention Supervisor
23,Nurse Escort
24,Operations Manager
25,Overnight Patrol
26,Parking Enforcement Officer
27,Parking Enforcement Security Guard
28,Parking Lot
29,Parking Lot Patrol
35,Secure Delivery Driver
36,Security Officer
37,Security Supervisor
